jp,cn,kr,en
「ともき、昨日も言ってた」,“智纪，昨天也说过的吧。”,"「토모키, 어제도 말했어.」",
昨日？,昨天？,어제?,
ぼくは昨夜を思い出す。,我回想起昨晚。,나는 어젯밤을 돌이켜보았다.,
……確かに、昨日も得意気に話していた気がする。,……确实，昨天好像也得意洋洋地说了一通。,……어제도 신나게 떠들었던 느낌이 든다.,
「重ね重ねごめん」,“每次都这样，真对不起。”,「더 미안해졌네.」,
「んふふ、だいじょうぶ」,“哈哈，没事的。”,"「우후후, 괜찮아.」",
ユエナはなぜだか嬉しそうにニコッと笑った。,不知怎么的，她有些开心的笑了一下。,유에나는 어째선지 기분 좋게 빙긋 웃었다.,
「笑った……」,“笑了……”,「웃었다…….」,
つい思ったことを口に出す。,下意识就说出口了。,무심코 생각이 입 밖으로 튀어나온다.,
「ん？」,“嗯？”,「응?」,
「ユエナが笑ってくれたなって思って、その……嬉しいというか安心したというか。ぼくの話しは面白くないのかと思って心配で」,“我是说你终于笑出来了，因为……我担心我的话很无聊，看你笑出来了，我就有些开心，或者说放心下来了。”,"「유에나가 웃어주니까, 그…… 기분이 좋다고 해야 되나, 안심이 된다고 해야 되나. 내 얘기가 재미없는 건가 걱정했거든.」",
「ともきは、面白いよ」,“智纪，很有意思哦。”,"「토모키는, 재미있어.」",
「そ、そう！？」,“是，是吗？！”,"「그, 그래!?」",
褒められて安易にテンションがあがる。,我一被夸就容易兴奋。,칭찬을 받으니 금세 기분이 고양된다.,
「もっと、知りたい。それと……」,“我还想，知道更多。然后……”,"「더, 알고 싶어. 그리고…….」",
「それと？」,“然后？”,「그리고?」,
「いつか、遠花火が分かったら、ともきから私に教えて」,“以后，等智纪明白空焰火是什么了，到时候就来告诉我吧。”,"「언젠가, 별꽃에 대해 알게 되면, 토모키가 나한테 가르쳐 줘.」",
「え、そ、それはもちろん！　いいの？」,“啊，那，那肯定的！不过可以吗？”,"「아, 그, 그거야 어렵지 않지! 그래도 돼?」",
「うん命令。……命令？　ううん、約束」,“嗯，命令……命令？不对，是约定。”,"「응. 명령. ……명령? 아니, 약속.」",
ユエナがまっすぐぼくを見つめる。,由依奈直直地看着我。,유에나가 나를 똑바로 바라본다.,
その瞳は、輝いてるようにみえた。,她的眼神似乎是闪闪发光的。,"그 눈동자가, 마치 빛나는 듯 영롱하다.",
「うん、わかった！」,“嗯，知道了！”,"「응, 알겠어!」",
ぼくはそう頷いて、遠花火について教えようとした瞬間、,我点下头，正要告诉她空焰火的知识——,나는 흔쾌히 받아들이고 별꽃에 대해 가르쳐 주려고 했다. 그때였다.,
ピリリリリリリリリリ,叮铃铃铃铃铃玲玲,삐리리리리리리리리,
ユエナが両手で持つスマホから着信音が鳴り響いた。,由依奈两手拿着的手机突然响起了铃声。,유에나가 오른손에 들고 있던 스마트폰에서 착신음이 울렸다.,
「わわっ！」,“哇哇！”,「와아!」,
突然鳴り響いたものだからユエナが派手に驚く。,因为铃声响得太突然，所以她挺惊讶的。,갑자기 울린 탓에 유에나가 소스라치게 놀란다.,
静かな夜に人のいない場所だ。着信音はよく鳴り響くが、そこまで驚くことかなと、ユエナの慌てっぷりを微笑ましくみながらぼくは一度スマホを預かる。,毕竟这里夜深人静啊。不过我也挺好奇的，铃声经常响，但她反应居然这么大。所以我面带微笑着看着她慌慌张张的样子，把手机接了过来。,조용한 밤에 인적 없는 장소이다. 착신음이 잘 울리기는 하지만 그 정도로 놀랄 일일까. 나는 유에나의 당황한 모습을 흐뭇하게 바라보며 스마트폰을 돌려받았다.,
着信は母親からだった。,电话是妈妈打来的。,엄마한테서 온 연락이다.,
「ちょっとごめんね」,“稍微离开一下。”,「잠깐 미안해.」,
そう断って立ち上がる。,我打断刚才说的话，站了起来。,양해를 구하고 일어선다.,
大して変わらないだろうけどユエナから少し離れて電話にでた。,虽然心里觉得没啥区别，但姑且还是和由依奈拉开了一些距离，再接起电话。,엄마와 전화한다고 해서 딱히 숨길 건 없지만 조금 떨어져서 전화를 받는다.,
「どこいってるの？　夕飯は？」,“你人在哪里呢？晚饭怎么办？”,「어디 갔어? 저녁은?」,
「ちょっと遠花火見に行ってるだけ。航生と」,“稍微出门来看空焰火了，和航生在一起。”,「그냥 별꽃 보러 나왔어. △△랑.」,
「ごはんはラップでもかけといて」,“饭就用保鲜膜包一下吧。”,「밥은 그냥 랩으로 덮어 줘.」,
さすがにユエナと一緒とは言えないので友人の名前を出す。,因为实在是不敢说和由依奈在一起，所以就说出了朋友的名字。,유에나와 함께 있다고 할 수 없으니 친구의 이름을 꺼낸다.,
「はぁ……はやく帰ってきなさいよ。補導されるよ」,“唉……早点回来，不然要被训了。”,「하아……. 얼른 들어와. 경찰한테 잡히지 말고.」,
「まだそんな時間じゃないって」,“时间还早着呢。”,「아직 늦은 시간도 아닌데 뭘.」,
まだせいぜい7時だ。,现在才七点。,이제 고작 7시다.,
「なるべくはやくね」,“能早点回就早点回啊。”,「최대한 빨리 와.」,
「うん、わかってるって」,“嗯，我知道的啦。”,"「응, 알겠다니까.」",
電話を切ってユエナのもとへ戻る。,我挂掉电话，回到由依奈身边。,전화를 끊고 유에나에게 돌아간다.,
ユエナはぼくが電話しているのをじっと眺めていたようだった。,刚才她似乎一直在看我打电话。,유에나는 내가 전화하는 것을 빤히 지켜보고 있었던 듯하다.,
「ごめん、親からの電話だった」,“抱歉，家长打过来的电话。”,「미안. 부모님한테 온 전화야.」,
「親、うん」,“家长，嗯。”,"「부모님, 응.」",
「ユエナ、着信音に驚いていたね」,“由依奈，你被铃声吓到了啊。”,「유에나. 소리 때문에 놀랐구나.」,
「いきなり音がなった。驚いた」,“因为声音突然就响起来了，所以吓到了。”,「갑자기 소리가 났어. 놀랐어.」,
「あはは、結構びっくりしてたね。ユエナはそういうの驚かないかと思ってた」,“啊哈哈，看你被吓得不轻呢，我还以为你不会被那种东西吓到。”,「아하하. 엄청 놀라던데. 유에나는 이런 걸로 안 놀랄 줄 알았네.」,
「そうなの？」,“是吗？”,「그랬어?」,
「うん、女の子でもカエルとか平気で触れそうなタイプの子かなって」,“嗯，我还以为你是那种青蛙都能随便摸的女孩子呢。”,「응. 개구리 같은 것도 태연하게 만질 수 있는 거 아닐까? 했지.」,
「わたしゲコゲコなくやつ、触れる」,“我，能够摸呱呱叫的东西。”,"「나 개굴개굴 하는 녀석, 만질 수 있어.」",
一瞬ドヤッとしたような気がした。,感觉她突然有些得意。,순간 유에나가 으스대는 듯한 느낌이 들었다.,
「ゲコゲコを？」,“呱呱叫的？”,「개굴개굴을?」,
「ゲコゲコを」,“呱呱叫的。”,「개굴개굴을.」,
……,……,…….,
……。,……,…….,
「ゲコゲコ」,“呱呱。”,「개굴개굴.」,
「ゲコゲコ」,“呱呱。”,「개굴개굴.」,
「ゲコッゲコッ」,“呱！呱！”,「개굴개굴!」,
「ゲコッゲコッ」,“呱！呱！”,「개굴개굴!」,
「あ……」,“啊……”,「아…….」,
すぐ近くから真似すんなとでもいいたげに、一匹のカエルが鳴いた。,一只青蛙呱呱地叫了起来，似乎是在叫我们不要在它面前模仿它。,바로 옆에서 개구리 한 마리가 울었다. 따라하지 말라고 성내는 것처럼.,
「あははは！」,“啊哈哈哈！”,「아하하하!」,
「んふふっ」,“哈哈。”,「우후후.」,
絶妙なタイミングで鳴いたカエルにぼくらは笑う。,这青蛙叫得太是时候，我们不禁笑了出来。,절묘한 개구리 소리에 우리는 즐겁게 웃었다.,
ひとしきり笑ってもう一度鳴かないか待ってみたけどそう都合よくはカエルは鳴いてくれなかった。,虽然我们笑了一阵，不禁想等到青蛙再叫一次，但青蛙并没有那么顺人心意。,"한바탕 웃은 뒤 또 울지 않을까 잠시 기다려 보았지만, 개구리는 역시 울어 주지 않았다.",
「鳴かない」,“不叫了。”,「울지 않아.」,
「そうだね。さっきはたまたまだったみたいだ」,“确实啊，刚才应该只是凑巧。”,「그러게. 아까는 우연이었나 봐.」,
名残惜しそうにユエナは泉を見つめている。,由依奈有些不舍地看着泉水。,유에나는 아쉬운 듯 샘을 바라보고 있다.,
「ユエナ」,“由依奈。”,「유에나.」,
「？」,“嗯？”,「？」,
「遠花火の続きを話すね」,“我接着说空焰火了。”,「아까 하던 별꽃 얘기 마저 할게.」,
「うん、聞かせて」,“嗯，讲给我听。”,"「응, 들려줘.」",
ユエナがぐっと身を寄せてくる。,她一下子就凑到我身边了。,유에나가 부쩍 가까이 다가온다.,
……近い。,……好近。,……가까워.,
「さっきの」,“刚才那个。”,「아까 그거.」,
「さっき？　ああ、遠花火の動画ね」,“刚才？啊，空焰火的视频啊。”,"「아까 그거? 아아, 별꽃 동영상 말이지?」",
ぼくはスマホを取り出して遠花火の動画を開く。なんてことのない操作だが、ユエナはどうやらスマホに興味津々なようだ。ユエナはスマホを持ってないのかもしれない。,我取出手机，打开视频。虽然这动作稀松平常，但由依奈似乎对手机很感兴趣，或许她没有手机吧。,나는 스마트폰을 꺼내 별꽃 영상을 열었다. 별 대단찮은 조작인데도 유에나는 스마트폰을 흥미진진하게 바라본다. 어쩌면 스마트폰이 없는 것인지도 모른다.,
最近では小学生でもスマホを持ってたりするけど、中学生でももってない人は持ってないから、やっぱり羨ましくみえるのかななんて思う。,虽说最近有手机的小学生也不少了，但没有手机的初中生还是有的，或许在他们眼中，有手机也是挺让人羡慕的吧。,"최근에는 초등학생도 스마트폰을 갖고 다니지만 중학생이어도 없는 사람은 없으니까, 아무래도 부러워서 그러는 것이 아닐까.",
ぼくは動画を用意しながら、そういえば今日はユエナについてもう少し聞こうと思っていたことを思い出した。,我打开视频，也想起今天要趁机多问问由依奈的事情。,나는 동영상을 틀었다. 그러고 보니 오늘은 유에나에 대해서 조금 더 물어보려고 했었지.,
「はいどうぞ」,“好了，请。”,"「자, 여기.」",
スマホをユエナに渡す。ユエナはまたそれを食い入るように見る。真剣なのか、さっきまで笑っていた顔はスッと消えた。,我把手机递给由依奈，她眼睛又完全盯着屏幕。刚才那副笑容都消失了，估计是看得很认真吧。,스마트폰을 유아나에게 건넨다. 유에나는 그것을 또 뚫어지게 쳐다본다. 조금 전까지 웃던 표정이 완전히 사라졌다.,
それがどこかぼくは不気味に思え、慌てて話を振る。,但我突然觉得这样有点不对劲，所以慌忙说了起来。,"어째서인지 그 모습이 불안하게 느껴져, 나는 황급히 말을 붙였다.",
「あのさ、ユエナってどこらへんに……」,“那个啊，由依奈，你是从哪里……”,「있잖아. 유에나는 어디서…….」,
「ともき」,“智纪。”,「토모키.」,
「はい」,“嗯。”,「네.」,
即座に話を中断して返事をする。,我马上停下嘴应答。,즉시 말을 멈추고 대답한다.,
まるで機械のように従順でぼくってこんなやつだっけと不思議になった。,我居然会像机器一样顺从，自己都有些惊讶。,마치 기계처럼 고분고분한 태도다. 내가 이런 사람이었나 하고 신기해진다.,
「遠花火の話」,“空焰火。”,「별꽃 이야기.」,
「あ、うんそうだったね。ごめんごめん」,“啊，对对，抱歉抱歉。”,"「아, 응. 그랬지. 미안, 미안.」",
そうだまずは遠花火の話をしよう。そのためにぼくは今日ここへ来たのだから。,对啊，得先把空焰火讲完啊，今天就是为了这个才过来的。,그래. 먼저 별꽃 얘기부터 하자. 그러려고 오늘 이곳에 온 거니까.,
「どこまで話したっけ……そうそう、遠花火は実は割と最近になって見られた新しい現象だというのも理由で、原因は明らかになっていないんだ」,“刚才说到哪里了……对对，因为空焰火是最近才发现的天文现象，所以还没有人知道原因。,「어디까지 얘기했더라……. 맞아. 별꽃은 사실 비교적 최근에야 관측할 수 있게 된 새로운 현상이야. 그래서 원인이 밝혀지지 않았어.」,
「まだまだ遠花火の研究や観察にはデータがすごく少ない」,“对于空焰火相关的研究和数据还是很少的。”,「아직 별꽃에 관한 연구나 관찰 기록이 부족해.」,
「それとは別に、遠花火も流れ星と同じように願い事をすると叶うって言われてる。流れ星よりも見ることはできないから効果は絶大だって期待されてるよ」,“另一方面，也有人说对着空焰火许愿跟向流星许愿同样，能够实现愿望。再加上比流星少见得多，所以都觉得对空焰火许愿效果更明显呢。”,"「그거랑은 별개로, 별꽃도 별똥별처럼 소원을 빌면 이뤄진다고들 말해. 별똥별보다 보기 힘드니까 효과가 더 클 거라고 하면서 말이야.」",
もちろんそれが本当なのかは知らないけど。,当然，我也不知道是不是真的。,물론 사실인지는 모르겠지만.,
「願いが叶う？」,“实现愿望？”,「소원이 이뤄져?」,
「うん、そう言われてるね」,“嗯，大家都这么说。”,"「응, 그렇다고 해.」",
迷信の一つだけどね、なんてユエナの前では言えない。流れ星は言ってしまったにしてもユエナは遠花火の原因を知りたくないロマンチストな人なのだ。,虽然这只是迷信，但我无法在她面前这么说。虽然嘴滑把流星说出来了，但由依奈可是个不想知道空焰火原理的浪漫的人啊。,"미신일 뿐이라고, 유에나에게는 말할 수 없다. 별똥별은 실수로 폭로하고 말았지만 유에나는 별꽃의 진상을 알고 싶지 않은 로맨티스트이다.",
「……」,“……”,「…….」,
ユエナは興味ないのか、特に返事もない。,不知道她是不是没兴趣，并没有回话。,유에나는 흥미가 없는지 별다른 반응을 보이지 않았다.,
つまらなかったのかなと少し不安になる。案外こういうことではないのかもしれない。,我有些担心是不是有点无聊了。或许还真是这么回事。,지루해진 것인지 걱정됐다. 의외로 이런 쪽에 관심이 없을지도 모른다.,
涼しい風が吹いた。,凉风吹过。,시원한 바람이 분다.,
ユエナの匂いが鼻をくすぐる。,由依奈的闻到搔动着我的鼻腔。,유에나의 향기가 코를 스친다.,
「ともき」,“智纪。”,「토모키.」,
「なに？」,“什么？”,「왜?」,
「ともきは、願い事……ある？」,“智纪，你有……愿望吗？”,"「토모키는, 소원…… 있어?」",
願い事。その言葉は深く心に刺さる。,愿望，这个词深深地刺进了我的内心。,소원. 그 단어가 마음속에 깊숙하게 박힌다.,
変わるはずもなく叶うはずもなく。これを願い事というのかは少し怪しいけれど。,无法改变，也无法实现，我不禁有些怀疑这到底能不能称得上愿望。,바꿀 수도 없고 이룰 수도 없는 것. 이것을 소원이라고 해도 될지 의문스럽다.,
願い事とはそうなる可能性がほんの少しあって願いになる。ぼくの100％叶わないこれを願い事と呼べるかは分からない。,所谓愿望，就是要有实现的可能，才会去许愿。我不知道该不该把这个百分百无法实现的事情称作是“愿望”。,소원이란 실현될 가능성이 조금이라도 있기에 소원인 것이다. 절대로 이루어질 수 없는 이것을 과연 소원이라고 불러도 될까.,
「ともき？」,“智纪？”,「토모키?」,
それでも願いごとはたった一つ。,就算如此，我的愿望也只有那么一个——,그럼에도 내 소원은 하나뿐.,
ただ、あの時ぼくの隣にいてくれた子と、もう一度会いたい。,我只想，再见一次，那时愿意陪在我身边的那个人——,"그저, 그때 내 곁에 있어 주었던 아이와, 다시 한 번 만나고 싶다.",
それだけなんだ。,仅此而已。,그것뿐이야.,
「ともき？」,“智纪？”,「토모키?」,
「え、あ、ごめん！　何か言った？」,“哎，啊，抱歉！你说什么了吗？”,"「어, 아, 미안! 무슨 말 했어?」",
ユエナの声にハッとする。,由依奈的声音让我回过神来。,유에나의 목소리에 정신을 찾는다.,
ユエナの顔がすぐ目の前にあった。,她的脸近在眼前。,유에나의 얼굴이 코앞까지 다가왔다.,
「へんなの」,“好奇怪。”,「이상해.」,
「へんなのって……なにが？」,“好奇怪……哪里啊？”,「이상하다니…… 뭐가?」,
ユエナはそれには何も答えず静かに首を横に振って、なぜかぼくのほうに倒れ込んでくる。,但是她只是摇摇头，没有说话，然后倒向了我这边。,"유에나는 대답하지 않고 조용히 고개를 가로저은 뒤, 어째선지 내 쪽으로 몸을 쓰러뜨렸다.",
「ユエナ！？」,“由依奈？！”,「유에나!?」,
ユエナはぼくの肩に頭をのせて何も言わない。,由依奈只是把脑袋靠在我的肩上，什么都不说。,유에나는 내 어깨에 머리를 얹은 채 잠자코 있다.,
ただ、静かな時間が流れそれに比例してぼくの体温もあがっていく。,只是，随着时间静静流逝，我的体温也越来越高了。,고요한 시간의 흐름에 따라 내 체온도 함께 높아진다.,
虫の声が消える。自分の鼓動が耳の先にのしかかる。,虫鸣声消失了，只有碰碰的心跳声清楚可闻。,벌레 우는 소리가 지워진다. 심장 고동 소리가 귓속을 덮는다.,
「え……とユエナさん？」,“啊……由依奈小姐？”,"「어…… 저기, 유에나 양?」",
首筋に触れる髪がくすぐったい。繊細で、柔らかな髪が何度も肌を撫でる。,她纤细而又柔顺的头发不停地拂过我的脖子，弄得我痒痒的。,목덜미에 닿은 머리카락이 간지럽다. 섬세하고 부드러운 머릿결이 계속해서 피부를 건드린다.,
「ユエナサンじゃない、ユエナ」,“不是由依奈小姐，是由依奈。”,「유에나양이 아니야. 유에나.」,
「はい、ごめんなさい」,“啊，对不起。”,"「네, 죄송합니다.」",
潔く謝っておいた。,我老老实实道歉了。,깔끔하게 사과했다.,
「ともき」,“智纪。”,「토모키.」,
「なに？」,“什么？”,「왜?」,
ユエナの声が近い。,她的声音好近啊。,유에나의 목소리가 가깝다.,
一拍二拍とおいて、ユエナがゆっくり口を開く。,过了那么一两拍，她又慢慢说了起来。,유에나가 잠시 뜸을 들였다가 천천히 입을 연다.,
「ともきは、星の匂いがする」,“智纪，有星星的味道。”,"「토모키는, 별의 냄새가 나.」",
「星の、匂い？」,“星星的，味道？,「별의 냄새?」,
「うん、あたたかくて、綺麗」,“嗯，又温暖，又漂亮。”,"「응. 따뜻하고, 예뻐.」",
「そ、そうなんだ」,“这，这样啊。”,"「그, 그렇구나.」",
不思議な表現だなと思う。,这形容挺奇特的。,신기한 표현이다.,
星の匂いか。,星星的味道啊。,별의 냄새라.,
「ボク……知らなかった」,“我……并不知道。”,「나…… 몰랐어.」,
「何を？」,“什么？”,「뭐를?」,
「……」,“……”,「…….」,
ユエナはそれ以上は何も言わない。,她却没有再说下去了。,유에나는 더 이상 아무 말도 하지 않았다.,
口を開くこともなくぼくの肩に頭をのせて目を閉じている。,只是闭上嘴，靠在我肩上，合上了眼睛。,그저 내 어깨에 머리를 얹은 채 눈을 감고 있다.,
正直、ドキドキがとまらない。,说真的，我心里跳个不停。,"솔직히 말해서, 두근거림이 멈추지 않는다.",
脈打つ激しい鼓動は絶対に聞こえていると思う。,我觉得她肯定能听到我猛烈的心跳声。,격렬한 고동 소리는 분명 유에나에게도 들릴 것이다.,
「ユエナさーん」,“由依奈小姐～”,「유에나 양?」,
「ユエナサンじゃない、ユエナ」,“不是由依奈小姐，是由依奈。”,「유에나양이 아니야. 유에나.」,
「はい」,“是。”,「네.」,
「……ってじゃなくて、恥ずかしいからそろそろ」,“……不是这个啊，怪不好意思的，差不多也……”,"「……그게 아니라, 민망하니까 이제 슬슬.」",
「そろそろ？」,“差不多？”,「슬슬?」,
「うっ、なんでもないです」,“呜，没什么。”,"「윽, 아무것도 아닙니다.」",
ユエナの声にはどうも従ってしまう。,我无论如何都会顺从由依奈所说的话。,유에나의 목소리에는 거부할 수 없는 힘이 있다.,
別にぼくもこれが嫌ではないし、もう少しだけいいかなと思いながら空を眺める。,虽然我自己也不讨厌这样，觉得还能再这么待一会儿，所以就抬头望向了天空的。,나라고 이 상황이 싫은 건 아니니까 조금만 더 있어도 괜찮겠지. 나는 하늘을 올려다보았다.,
静かで暗い世界にぼくら二人。,静谧的黑夜，只有我们两个人。,고요하고 어두운 세상에 우리 두 사람.,
こんな空に遠花火が見られたら、きっと願いは叶うはず。,如果现在能够看到空焰火，那么愿望一定能够实现的。,"이런 하늘에 별꽃이 나타난다면, 소원은 반드시 이루어질 것이다.",
けれどそんなロマンチックなことが起こる前に。,可就在这浪漫的一幕到来之前——,하지만 그런 로맨틱한 일이 일어나기 전에.,
現実がやってきた。,现实却打醒了我。,현실이 찾아온다.,
「あ……」,“啊……”,「아…….」,
「？」,“嗯？”,「？」,
ユエナがパチッと目を開け音の鳴った場所を覗き込む。,由依奈啪地睁开了眼睛，看向了声音想起的地方。,유에나가 눈을 반짝 뜨더니 소리가 난 곳을 응시했다.,
「お、お腹減った」,“肚、肚子饿了。”,"「배, 배고프네.」",
「ここから鳴った」,“从这里响起来的。”,「여기서 났어.」,
「うわあ、触らないで！　くすぐったいから！」,“呜哇，别摸啊！好痒！”,"「우와아, 만지지 마! 간지럽단 말이야!」",
ユエナがぼくの腹を指でツンツンとさす。,由依奈用手指戳着我的肚子。,유에나가 내 배를 손가락으로 쿡쿡 찌른다.,
「ぼく、くすぐりとか、すごい苦手だから……」,“我真的……好怕痒的……”,「나 간지럼 엄청 심하게 탄단 말이야…….」,
昔からどこをくすぐられても笑ってしまう体質でよくくすぐられたりしたっけ。,以前我好像就因为怕痒而天天被人挠，每次都会被人挠到笑出声来着。,어딜 건드려도 간지럼을 느끼기 때문에 옛날부터 자주 당했다.,
だけどなぜか足の裏だけはあまりくすぐったくなくて耐えられる。変な特技だ。,但是只有脚底板不怕痒，这特技还真奇怪。,하지만 왜인지 발바닥만은 둔감해서 잘 버틴다. 특이한 재주다.,
「んふふっ」,“嘿嘿。”,「우후후.」,
……悪い顔だ。,……这表情挺坏的。,……사악한 표정이다.,
「ユエナはお腹減らない？」,“由依奈，你不饿吗？”,「유에나는 배 안 고파?」,
「減らない」,“不饿。”,「안 고파.」,
即答だった。,秒答啊。,주저하지 않고 답한다.,
「そ、そうだよね」,“确、确实啊。”,"「그, 그렇지.」",
何がそうだよね、なんだろうか。,什么确实啊，奇奇怪怪的。,"뭐가 그렇다는 거야, 나는.",
「ぼくはお腹減ってきたから、そろそろ帰ろうかなって思うけど」,“我肚子饿了，所以也差不多该回家了。”,「난 배고파서 슬슬 집에 갈까 하는데.」,
「何か食べる？」,“要吃什么吗？”,「뭐 먹으려고?」,
「あ、うん。家帰ったら夕飯あるし、何かは食べるかな」,“啊，嗯，回到家里还有晚饭，应该会吃点什么吧。”,"「아, 응. 집 가면 저녁밥도 있고, 뭐든 먹긴 하겠지.」",
だから今日はここで解散――しようとした。,所以——今天就到此为止了。,그러니 오늘은 여기서 해산――하려고 했는데.,
「わたしも、お腹が減った」,“我肚子，也饿了。”,"「나도, 배고파.」",
ユエナが自分の腹を見つめる。どうやら腹の虫が鳴くのを待っているらしい。,由依奈看着自己的肚子。似乎她也在等着肚子响起来。,유에나가 자기 배를 내려다본다. 배꼽시계가 울리길 기다리는 것처럼 말이다.,
けれどしばらく経っても腹の虫はなかない。,但过了一会儿，就是不响。,하지만 아무리 기다려도 울리지 않는다.,
「……んんっ」,“……嗯！”,「……으응.」,
なかなか鳴かないのを待てないのか苛立ちなのかユエナが制服を脱ごうとする。,她等肚子叫等得不耐烦了，居然准备把校服脱了。,마음처럼 되지 않자 초조했는지 유에나가 교복을 벗으려 한다.,
「ちょっと、ちょっと！？　ここで脱がないで！　脱いでもお腹が減ってなかったら鳴かないから。分かるよね！？」,“等等，等等？！别在这里脱啊！脱了肚子也不会饿，自然也不会叫，懂吧？！”,"「잠깐, 잠깐만!? 여기서 벗으면 안 돼! 벗어도 배가 안 고프면 소리는 안 나니까. 알잖아!?」",
「……ざんねん」,“……好可惜。”,「……아쉬워.」,
本当に残念そうにゆっくり制服をおろした。,她真的满脸遗憾地把正要掀起的校服放下来了。,진심으로 아쉬운 듯 천천히 교복을 놓는다.,
「露出狂、とかじゃないよね。さすがにそれは失礼か。にしても……」,“你应该，不是暴露狂吧？我这话也太过了。可话说回来……”,"「노출증, 같은 건 아니겠지. 좀 무례한 생각인가. 그건 그렇고…….」",
一応止めたものの、ユエナのお腹は結構そこはかとなくそれなりにばっちり見えてしまった。,虽然她是停下来了，可我也不得不“好好地”看了她的肚子。,"일단 제지하긴 했지만, 순간 보인 유에나의 복부는 나름대로 탄탄해 보였다.",
「ぼくは悪くない」,“可不是我不好啊。”,「나는 잘못 없어.」,
自分とユエナに対して主張する。,我对着由依奈，如此说道。,나 자신과 유에나에게 주장했다.,
「？」,“嗯？”,「？」,
ユエナは首を傾げながら、ぼくと自分の腹を何度も見る。,可她只是歪着脑袋，反复看着我们俩的肚子。,"유에나는 고개를 갸웃거리면서, 나와 자신의 배를 번갈아 보았다.",
やがて三往復ほどしたところで、,大概到了第三回。,이윽고 세 번 정도 왕복한 뒤에,
「ぐぅ〜」,“咕～”,「꼬르륵~」,
ユエナは自分で鳴いてみせた。,最后她自己叫了出来。,결국 유에나가 자기 입으로 소리를 냈다.,
「ユエナ決めた？」,“由依奈，你定好了吗？”,"「유에나, 정했어?」",
「まだまだ」,“还没有呢。”,「아직.」,
ユエナはふるふると首を横に振った。,由依奈只是摇着脑袋。,유에나가 설레설레 고개를 흔든다.,
「そう、決めたら持ってきてね」,“这样，定好了就拿过来吧。”,「그래. 정했으면 가지고 와.」,
そういってぼくはカレーを棚から取る。,我这么说着，从货架上把咖喱取了下来。,나는 선반에서 카레를 집으며 말했다.,
ぼくらは今コンビニにいた。,我们现在在便利店里。,우리는 지금 편의점에 왔다.,
あの泉から、最初に来た道とは反対側に抜けると歩いて五分もかからないところにコンビニがある。,从泉水出发，穿过来时走的那条路，走不到五分钟就有一家便利店。,샘으로 가는 길 반대편으로 빠지면 걸어서 5분 거리에 편의점이 있다.,
あれからユエナも何かが食べたいと言って、こうやってコンビニにやってきた。,那之后，由依奈也说想要吃东西，所以就走到便利店来了。,유에나도 뭔가 먹고 싶다고 하기에 이렇게 편의점을 찾은 것이다.,
ユエナはこんな時間のコンビニは初めてなのか、やけにキョロキョロしている。,不知道由依奈是不是头一回这个时候来便利店，感觉她挺不淡定的。,유에나는 이런 시간에 편의점은 처음 와 봤는지 몹시 두리번거리고 있다.,
