jp,cn,kr,en
ぼくはポケットから財布をとりだして、こっそり所持金を確認すると千円札は三枚ほど入っていた。,我从兜里掏出钱包，暗自确认了一下里面的现金，一共有三张一千。,나는 주머니에서 지갑을 꺼내어 슬쩍 소지금을 확인해 보았다. 천 엔 지폐가 세 장 정도 들어 있다.,
「よかった、ここでお金がなかったらかっこ悪いことこの上ないよ」,“太好了，如果这时候没钱，简直就是罪无可恕啊。”,「다행이다. 여기서 돈이 없었으면 진짜 모양 빠질 뻔했지.」,
安心して息を吐く。,我安心地舒了一口气。,안도의 한숨을 내쉰다.,
ここは奢るつもりだからお金が足りなかったらどうしようかと思った。,因为我是打算请她吃的，如果没钱还真的不知道咋办了。,내가 살 생각이었기에 돈이 부족하면 어떡할까 걱정하던 참이었다.,
「どう、決まった？」,“怎么样，定好了吗？”,"「어때, 이제 정했어?」",
ほんの数分、漫画コーナーで時間をつぶす。,我在漫画区打发了几分钟时间。,몇 분 간 만화 코너에서 시간을 때운다.,
店内に他の客がいないのをいいことに、わざわざ成人雑誌のある方から大回りしてから、ユエナのもとへ行く。,虽说店里没有其他人，但我还是刻意围着成人杂志区绕了一大圈，才走到了由依奈身边。,가게 안에는 다른 손님이 없다. 이를 기회 삼아 일부러 성인 잡지가 있는 쪽으로 크게 돌아 유에나에게 돌아간다.,
「わたし、これ」,“我，就这个。”,"「나, 이거.」",
ずいっと突き出してきたのは洗剤だった。,她手指向的，是洗洁精。,유에나가 불쑥 내민 것은 세제였다.,
「……ユエナ？」,“……由依奈？”,「……유에나?」,
やっぱりユエナは乾燥機と洗濯機とかそういう妖怪とか妖精なのかもしれない。,没准她还真是烘干机或者洗衣机化身的妖精或是妖怪吧？,"역시 유에나는 건조기와 세탁기, 그런 쪽에 관련된 요괴나 요정일지도 모르겠다.",
「いやいや、そんなわけない！」,“不不不，这不可能！”,"「에이, 그럴 리가 있나!」",
ぼくは頭を振る。,我摇了摇头。,나는 머리를 흔들었다.,
「面白いけど、ちゃんと食べられるもののほうがいいよ」,“虽然很有趣，但还是点些能吃的东西吧。”,「재밌는 농담이었어. 그래도 먹을 수 있는 걸로 골라야지.」,
「面白い？」,“有趣？”,「재밌어?」,
なんか純粋に尋ねてくるユエナの瞳がまぶしい。,可她询问我的眼神却是闪闪发亮。,순수하게 질문하는 유에나의 눈동자가 눈부시다.,
「ごめん、全然面白くなかった」,“抱歉，一点都不有趣。”,「미안. 하나도 재미없었어.」,
「ともきは、詐欺。この顔みたら110番」,“智纪，是骗子。看到这种人就要打110。”,"「토모키는, 사기꾼. 이런 사람을 보면 112번.」",
「い、いいすぎだよ！」,“这，这太夸张啦！”,"「사, 사기꾼은 너무 갔잖아!」",
「んふふっ」,“嗯哈哈。”,「우후후.」,
ユエナが洗剤を元に戻す。,由依奈把洗洁精放了回去。,유에나가 세제를 다시 돌려놓는다.,
「弁当とかサンドイッチとかにしたら？　カップラーメンはここでお湯入れていかなきゃいけないから、運ぶのもめんどうくさいし、絶対三分以上はかかっちゃうからおすすめしないけど」,“要不就便当或者三明治吧？泡面的话，要在这里接热水不说，带着也很麻烦，还得等三分钟，所以不是很推荐啊。”,"「도시락이나 샌드위치는 어때? 컵라면은 여기서 물 부어야 하니까 들고 나르기도 귀찮고, 돌아가려면 3분 이상 걸리니까 추천은 안 해.」",
「……」,“……”,「…….」,
ユエナはぼくの横をスタスタ通り抜けていって、,由依奈走过了我身边——,유에나는 총총 내 옆을 지나가,
「これ」,“这个。”,「이거.」,
カップラーメンを一つ手に取った。,然后就拿上了一杯泡面。,컵라면을 하나 집었다.,
「嫌がらせ？」,“找茬吗？”,「일부러 그러는 거지?」,
「んふふっ」,“嗯哼哼。”,「우후후.」,
「まあ、いいや。でもユエナ、大丈夫？」,“算了，没事。不过，你没问题吗？”,"「뭐, 그래. 근데 유에나, 괜찮겠어?」",
「だいじょうぶ？」,“没问题？”,「괜찮아?」,
ユエナが手に取ったのはパッケージが真っ赤でいかにも激辛なカップラーメンだったからだ。,因为她手里拿着的，是一个包装红到黑，一看就是那种辣到不行的泡面。,유에나가 집은 새빨간 컵라면은 아주 매운 제품이었다.,
「それ、辛いよ」,“那个，很辣的。”,"「그거, 매운 건데.」",
「うん」,“嗯。”,「응.」,
「辛いの得意なんだ」,“你很会吃辣吗？”,「매운 거 잘 먹는구나.」,
「わかんない」,“不知道。”,「몰라.」,
「チャレンジャーかあ」,“原来是个挑战者啊。”,「도전자였나.」,
パッケージをみてるだけで口内に唾液が溜まってくる。,光是看这外包装，口水就流个不停了。,디자인을 보고만 있어도 입 안에 침이 고인다.,
「ま、いいや。じゃそれ貸して買ってくる」,“唉，行吧。那我就帮你把这个买了。”,「일단 알았어. 나한테 주면 계산해 올게.」,
「ともきは？」,“智纪呢？”,「토모키는?」,
「ぼく？　カレーだけど」,“我？咖喱啊。”,「나? 카레인데.」,
ユエナは棚からもう一つ同じカップラーメンを取り出して、,由依奈从货架上又拿出了同样一款泡面。,"유에나가 선반에서 똑같은 컵라면을 하나 더 꺼내더니,",
「食べよう」,“来吃吧。”,「먹자.」,
「ぼくも！？」,“我也要？！”,「나도!?」,
「うんっ」,“嗯。”,「응!」,
「ユエナは結構悪魔だね」,“你也真够恶魔的啊。”,「악마도 혀를 내두르겠는걸.」,
うーんと悩む。ぼく自身辛い物は苦手ではない、むしろ得意な方だけど……。,我不禁烦恼起来，虽然我自己并不怕辣，不如说还挺会吃辣的……,신음하며 고민한다. 나는 매운 음식을 싫어하지 않는다. 오히려 잘 먹는 편이긴 한데…….,
「……」,“……”,「…….」,
なんだか見つめられてしまってはここで逃げるのは男として避けたかった。,总觉得，被人这么看着，作为一个男生，还是不想逃避啊。,이렇게 쳐다보는데 도망치는 건 남자로서 용납할 수 없다.,
「わかった、ぼくもそれにしよう」,“明白了，那我也吃这个。”,「알았어. 나도 그걸로 할게.」,
カレーを戻して、同じ激辛カップラーメンをレジへもっていき会計する。,我把咖喱放回去，拿起同款特辣泡面去柜台买单了。,카레를 제자리에 놓은 뒤 매운 컵라면을 계산대로 가져가 계산한다.,
「ありがっ、とゃーしたー」,“谢谢～光临——”,"점원「감삼다, 안녜세요ー」",
雑な店員の声をききながらお釣りとカップラーメンを受け取る。,我听着店员应付的话语，接过了找零和泡面。,점원의 무성의한 목소리를 들으며 거스름돈과 컵라면을 받는다.,
「はい、ユエナ」,“由依奈，给。”,"「여기, 유에나.」",
ユエナの分を一つ渡す。,我把一碗递给了由依奈。,유에나의 몫을 하나 건넨다.,
「あ、これ4分じゃん。ラッキー」,“啊，需要四分钟啊，真幸运。”,"「아, 이거 4분짜리네. 나이스.」",
たまにある３分じゃできないカップラーメン。これは4分だった。,偶尔会买到那种三分钟泡不好的泡面，这款是四分钟的。,가끔 있는 3분 이상 걸리는 컵라면. 이건 4분이었다.,
ぼくらはカップラーメンにお湯をいれてコンビニを出る。,我们往碗里加好开水，走出便利店。,우리는 컵라면에 뜨거운 물을 붓고 편의점을 나왔다.,
「こぼさないように急ごう」,“走快点吧，不过别打翻了。”,「빨리 가자. 흘리지 않게 조심하고.」,
先頭に立って歩き出す。,我走在了前面。,선두에 서서 걸어간다.,
両手で抱えるカップラーメンの容器が熱い。,两手抱着的泡面挺烫的。,두 손으로 감싸 쥔 컵라면 용기가 뜨겁다.,
折れた蓋と容器の隙間からこぼれる湯気が後ろへ流れていく。,热气从塑料盖和碗之间的缝隙中飘出，向后飘去。,접힌 뚜껑과 용기 틈새로 피어오르는 김이 뒤로 흘러간다.,
なんか、,我不禁——,이 기분을 뭐라고 해야 할까.,
「いいな……」,“真好啊……”,「좋다…….」,
ぼくは思う。,闪过了这样的想法。,나는 중얼거렸다.,
「ユエナ、ちゃんとついてきている？」,“由依奈，跟得上吗？”,"「유에나, 잘 따라오고 있어?」",
「うん」,“嗯。”,「응.」,
後ろを振り返る余裕がないので声だけで確認をとる。,因为我没有空回头，所以只能通过对话确认。,뒤돌아볼 여유가 없어 목소리로만 확인한다.,
「りょうかい！」,“明白了！”,「오케이!」,
はりきって声を出す。,我说得很果断。,활기차게 소리친다.,
「よし、ここ曲がるよ」,“好，在这里转弯。”,"「좋아, 여기서 돌면 돼.」",
また泉へと戻ってくる。,我们又回到了泉水旁。,다시 샘으로 돌아왔다.,
ぼくらは倒木に座って、付属の液体スープを投入した。,然后坐在倒下的树干上，把附送的汤包倒了进去。,우리는 쓰러진 나무에 앉아 액상 스프를 투입했다.,
「うっ……」,“呜……”,「윽…….」,
匂いでわかる、これは相当に辛い！,光闻闻就知道，这个相当辣啊！,냄새에서 느껴진다. 이건 상당히 맵다!,
ユエナはそんなぼくをじっと見つめながら液体スープを入れている。澄ました顔で。,由依奈看着我，也把汤包倒了进去，但神情很淡定。,유에나는 그런 나를 물끄러미 쳐다보다가 액상 스프를 넣고 있다. 새초롬한 얼굴로.,
「よし」,“好。”,「됐다.」,
全て入れ終わって容器を持ち上げる。,把汤料都倒了进去，我端起泡面。,스프를 전부 넣고 용기를 들어올린다.,
割り箸を一つユエナに渡す。,然后把一双筷子递给了由依奈。,나무젓가락 하나를 유에나에게 건넨다.,
「じゃ、いただきます」,“那么，我开动了。”,"「그럼, 잘 먹겠습니다.」",
パキッと割り箸を割る音が静かに響く。,周围很安静，筷子被掰开的清脆声音很是明显。,나무젓가락 쪼개는 소리가 조용하게 울린다.,
一方隣でバキッと音がして、隣をみるとユエナが明らかに失敗した割り箸を持って呆然としていた。,可身边只传来了很不干脆的声音，我看过去，只有没有掰好的筷子，以及一脸懵圈地拿着筷子的由依奈。,옆에서도 똑 소리가 들려 온다. 고개를 돌려보니 유에나가 제대로 실패한 나무젓가락을 들고 멍하니 있었다.,
「ユエナ、割り箸わるのすっごい下手くそだね」,“由依奈，你很不会掰筷子啊。”,「유에나. 나무젓가락 나누는 거 엄청 못하네.」,
「わたし、初めてやった」,“我，第一次掰。”,"「나, 처음 해 봤어.」",
「それはなかなか苦しい言い訳だと思う」,“这借口还真是尴尬啊。”,「그건 좀 듣기 괴로운 변명 같아.」,
この歳で割り箸を割ったことがない人はいないだろう。決めつけはよくないけど、きっとそうに違いない。,应该不会有人这么大了还没掰过筷子吧？虽然乱下结论不好，但应该是没错的。,"이 나이에 나무젓가락을 써 보지 않은 사람은 없을 것이다. 멋대로 단정 짓는 것은 좋지 않지만, 분명히 그럴 것이다.",
「食べれるから、いい」,“反正能吃，没事的。”,"「먹을 수 있으니까, 괜찮아.」",
真っ赤なスープから麺を掬い上げてすする。,她用筷子从火红的汤里夹起面条，吸了起来。,새빨간 국물에서 면을 건져 후루룩 먹는다.,
「じゃ、ぼくもいただきます」,“那么，我也开动了。”,「그럼 나도 먹어야겠다.」,
麺を持ち上げ、ふぅと少し冷ましてからすする。,我也夹起面条，稍微吹了一下，吸了起来。,"면을 집고, 후후 불어 식힌 뒤 먹는다.",
「げほっ！」,“咳咳！”,「콜록!」,
辛い！,好辣啊！,매워!,
じわっと額に汗が滲む。ちらっとユエナを一瞥するとユエナは涼しい顔でラーメンを頬張っていた。,汗水从额头渗了出来。可我往身边一瞥，只见到由依奈一脸淡定地吃着泡面。,"이마에 땀이 송골송골 맺힌다. 옆을 힐끔 쳐다보자, 유에나가 차분한 표정으로 라면을 오물거리고 있다.",
「す、すごいね……。美味しい？」,“好、好厉害啊……好吃吗？”,"「대, 대단하네……. 맛있어?」",
「うん」,“嗯。”,「응.」,
「それはなにより」,“那就好。”,「그렇다면 다행이고.」,
ぼくももう一口麺をすする。,我也又吸了一口面。,나도 다시 면을 건져 먹는다.,
辛い。でも――美味しい。,很辣，但是——很香。,맵다. 하지만 맛있다.,
外で食べているからか。隣にユエナがいるからか。,不知道是因为在外面吃，还是因为在由依奈旁边吃。,야외에서 먹기 때문일까. 옆에 유에나가 있기 때문일까.,
多分、どっちもなんだと思いながら、ぼくは湯気が立ち昇る先を見つめる。,估计都有吧，我心里想着这些，眼神看向了热气飘向的地方。,아마 둘 다일 것이다. 나는 피어오르는 증기를 바라보았다.,
「ねえ、ユエナ」,“对了，由依奈。”,"「있잖아, 유에나.」",
「……」,“……”,「…….」,
ユエナは麺をほおばったところで、こちらを向いた。,由依奈嘴里含着面，看了过来。,유에나가 면발을 입에 가득히 문 상태로 고개를 돌린다.,
口から麺が伸びている。,面都挂在嘴上。,입술 사이로 면이 튀어나왔다.,
「ごめん、それ食べてからでいいよ」,“抱歉，你先吃完吧。”,"「미안, 그거 다 먹고 해도 돼.」",
ユエナが涼しい顔で麺をズズッとすするのを見終えてから話しかける。,等由依奈淡定地把面吸进嘴里我才继续说。,나는 유에나가 면을 마저 다 먹고 난 뒤에 다시 말했다.,
「ユエナは、ここで何をしているの？」,“由依奈啊，你在这里做什么呢？”,"「유에나는, 여기서 뭘 하고 있었어?」",
「何を、したらいいと思う？」,“你觉得，我应该做什么呢？”,"「뭘, 하면 좋을 것 같아?」",
質問で返されてぼくは悩む。,她反问过来，我倒是烦恼起来了。,나는 되레 질문을 받아 고민했다.,
「え、そうだなあ。うーん……」,“哎，确实啊，嗯……”,"「음, 글쎄. 으음…….」",
考えてみたけど特にいい案は浮かばない。,我想了想，但也没有什么好点子。,생각해 봐도 특별히 좋은 답이 떠오르지 않는다.,
ただぼくの顔の前を通って湯気がたちのぼって空に消えていく。,只有热气不断从我眼前飘过，然后消散在空中。,뜨거운 김이 하늘로 오르며 이내 사라진다.,
「なにしても、いいんじゃないかな？」,“我觉得，做什么都可以吧？”,「뭘 하든 상관없지 않을까?」,
「なに、しても？」,“做什么，都可以？”,"「뭘, 하든?」",
「うん。したいことが分からないなら、まずはそれを見つけることをしたいことにしようよ。ほら、したいことが見つかった」,“嗯。既然不知道想做什么，那就先找到再说。你看，这不就有事情做了嘛。”,「응. 뭘 하고 싶은지 모르겠다면 일단 그것부터 찾고 싶다고 생각하면 돼. 그럼 하고 싶은 게 생긴 거지.」,
「って、こんな答えじゃだめかな」,“不过，这个答案也不是事啊。”,「이런 대답으로는 안 될까.」,
ぼくなりに良いことを言ったつもりだったのだけど、,虽然我觉得还算是个好答案，,내 나름대로 괜찮은 말을 했다고 생각했지만,
「だめ」,“不行。”,「안 돼.」,
ユエナに即答で否定されてしまった。,但立刻就被由依奈否定掉了。,유에나가 딱 잘라 부정해버린다.,
「うっ、やっぱり結構辛辣なんだね」,“呜，果然你好狠啊。”,「윽. 역시 신랄하네.」,
ショックだ。ちょっといいこと言ったつもりだったのに。,好受打击。明明我只是想稍微说点好话的。,충격이다. 꽤 괜찮은 말이라고 생각했는데.,
自惚れを感じる。,有点自我陶醉了。,자만심이었나.,
「したいこと、わたしがしなくちゃいけないこと、本当はある」,“想做的事，我必须要做的事，确实是有的。”,"「하고 싶은 것, 내가 해야만 하는 것, 사실은 있어.」",
ユエナがゆっくり語りだす。,由依奈慢慢地说出来。,유에나가 천천히 말을 꺼낸다.,
「でも今は、それがやれない」,“但是，现在做不了。”,"「그래도 지금은, 그걸 할 수 없어.」",
「お金がないとか、時間がないとか？」,“是因为没钱，或者没时间吗？”,"「돈이, 아니면 시간이 없어서?」",
「ちがう。そういうのじゃない」,“不是，不是那个原因。”,「아니야. 그런 게 아니야.」,
ユエナは首を横にふる。,由依奈摇了摇头。,유에나가 고개를 가로저었다.,
「一人じゃできないとか？」,“一个人做不到吗？”,「혼자서는 못할 일이라든가?」,
「できる……」,“做得到……”,「할 수 있어…….」,
次第にユエナの表情が陰っていく。,然后她的的表情阴沉了下去。,유에나의 표정이 점점 어두워진다.,
「ボクはできる！」,“我能做到的！”,「나는 할 수 있어!」,
ユエナが声をあげた。,她把声音抬高了一些。,유에나가 소리쳤다.,
大きな声ではなかったけど、その声はまっすぐぼくに届いた。,虽然不是特别大声，但我听得清清楚楚。,큰소리는 아니었지만 그 목소리는 내 귀에 곧바로 닿았다.,
ユエナは大声をあげたことに何の反応もしめしていなかった。それはまるで気にしていないか、もしくはなかったことのように、ユエナは再び麺をすすりはじめる。,但由依奈并没有更多的反应了，仿佛就像是毫不在意，甚至是当做无事发生一样继续吸起了面条。,"유에나는 자신이 소리친 것에 대해 아무런 반응도 보이지 않았다. 전혀 신경 쓰지 않는 것처럼, 혹은 없었던 일로 무마하려는 것처럼, 유에나는 다시 면을 흡입했다.",
「うん、ユエナはできると思うよ」,“嗯，我相信你是能做到的。”,「응. 유에나라면 할 수 있을 거야.」,
ああ、言わなくてもいいのに、なんて自分の心の中で思いながら喋りだした口は止まらない。,啊……明明不用说也可以的，可我就是容易把心里想的话给说出来。,"아아, 굳이 말하지 않아도 되는데. 생각은 그렇게 하지만 이미 열린 입은 멈출 수 없다.",
「もしぼくにできることがあれば手伝うから、こうみえても結構裏方とか好きだし、誰かを手伝うの好きなんだ」,“如果有什么我能做到的，就让我帮忙吧。其实我还挺喜欢当幕后助推人的，也很喜欢帮助别人。”,"「만약 내가 할 수 있는 게 있다면 도와줄게. 이래 봬도 뒤치다꺼리 잘하고, 다른 사람 돕는 걸 좋아하거든.",
「ともきには、無理」,“智纪，你是做不到的。”,"「토모키는, 못해.」",
「そ、そっか……ごめん」,“这这样啊……抱歉。”,"「그, 그렇구나……. 미안.」",
「多分、ともきは悪くない。わたしもきっと、悪くない」,“大概，智纪没有错。然后，我也一定没有错。”,"「아마도, 토모키는 나쁘지 않아. 나도 분명히, 나쁘지 않아.」",
「ユエナ？」,“由依奈？”,「유에나?」,
「でも、このカップラーメンは美味しい」,“不过，这个泡面真的好吃。”,"「그래도, 이 컵라면은 맛있어.」",
ユエナは、おおかた麺は全て食べてしまったようで、汁をずずずと飲み始める。,由依奈看来是把面吃光，开始喝起了汤。,유에나는 면을 거의 다 먹어치웠는지 국물을 후루룩 마시기 시작했다.,
ユエナの言っていることはよくわからなかったけど、ただカップラーメンが美味しいことには同意だった。,虽然我不明白她刚才说的是什么，但泡面好吃这点我还是同意的。,"유에나가 무슨 말을 하는지 이해하지 못했지만, 컵라면이 맛있다는 말에는 동의한다.",
ものすごく辛いし、唇や舌先はいたいし、汗も鼻水も止まらないけど。,虽然这面相当辣，嘴唇和舌尖都很痛，汗水和鼻涕也停不下来。,엄청나게 맵고 입술과 혀끝이 따끔거리고 땀에 콧물까지 흐르지만.,
「ともき」,“智纪。”,「토모키.」,
ユエナはぼくの名前を呼んで、じっと見つめてくる。,她叫着我的名字，直直地看着我。,유에나가 내 이름을 부르며 빤히 쳐다본다.,
「な、なに？」,“怎、怎么了？”,"「엇, 왜?」",
その目力といえばいいんだろうか、ぼくはユエナという小さな女の子に圧倒される。,气势上我完全败给了这个叫做由依奈的女孩。,"눈빛에 힘이 있다고 해야 할까, 나는 유에나라는 작은 여자아이에게 압도당했다.",
「だれかくる」,“有人过来了。”,「누가 와.」,
「え？」,“哎？”,「뭐?」,
ぼくは泉の向こう側に目を凝らす。たしかにライトをつけた誰かがこちらへ向かっているようだった。,我看向了泉水另一侧，确实有人打着手电过来了。,나는 샘 건너편을 응시했다. 확실히 라이트를 켠 누군가가 이쪽으로 오는 듯했다.,
「ユエナ」,“由依奈。”,「유에나.」,
ぼくはユエナの手を取る。,我拉起了她的手。,나는 유에나의 손을 잡았다.,
別に逃げる必要も特にはなかったんじゃないかと、後から思う。,虽然之后才发觉其实没有必要逃跑。,"이때 굳이 도망갈 필요는 없지 않았을까, 뒤늦게 생각했다.",
けれどこの時は、ぼくらの場所を、ぼくらの時間を邪魔をされたような気分で、,但在那个时候我觉得，那片属于我们的地方、那段属于我们的时间被人打搅了，,"하지만 이때는 우리의 장소를, 우리의 시간을 방해받은 듯한 기분이 들어서.",
そしてなんとなくユエナを誰にもあわせたくなくて、ぼくはユエナの手をとった。,我就是在那种不想让任何人见到由依奈的心情下，拉起了她的小手。,"그리고 왠지 모르게 유에나를 다른 누구에게도 보여주고 싶지 않아서, 나는 유에나의 손을 잡았다.",
「ゴミはちゃんと片付けにくるから」,“垃圾我等会儿会来收拾的。”,「쓰레기는 나중에 꼭 정리하러 올 테니까.」,
少し食べかけのカップラーメンの容器をそのままにして、ぼくらはその場から逃げるように去った。,我们丢下了还没吃完的泡面碗，径直逃离了那里。,"먹다 만 컵라면 용기를 그대로 내버려 둔 채, 우리는 그곳에서 도망치듯 떠나갔다.",
「はあ……はあ……はあ」,“哈啊……哈啊……哈啊。”,「하아……. 하아……. 하아.」,
ながらくと走って随分と距離を取ったはず。,稍微跑了一会儿，应该够远了。,오랫동안 달렸으니 제법 멀어졌을 것이다.,
あがる息を整える。,我调整了一下呼吸。,거친 숨결을 가다듬는다.,
「ここまでこれば……だいじょうぶ、かな」,“跑到这里的话……应该，没问题了吧。”,"「이 정도 왔으면…… 괜찮, 겠지.」",
夏も近い季節だ。夜風は涼しくても走れば暑い。ただでさえ辛いラーメンを食べていたんだ、汗がとまらない。,现在离夏天也不远了，虽说晚上还算凉快，但跑起来就热了。况且刚才还吃了那么辣的泡面，汗水根本停不下来。,여름에 가까운 계절이다. 밤바람이 시원해도 달리면 덥다. 가뜩이나 매운 라면을 먹고 있었기에 땀이 멈추지 않는다.,
「ごめんユエナ、走らせて」,“抱歉啊由依奈，突然拉着你跑。”,"「미안해, 유에나. 괜히 뛰게 해서.」",
ぜぇはぁ息を整えながら後ろを振り返る。,我好容易调整了呼吸，往后一转。,힘겹게 숨을 고르며 뒤를 돌아본다.,
「ん？」,“嗯？”,「응?」,
実に涼しい顔で首を傾げて笑った。,她却跟个没事人一样歪头笑着。,대단히 태연한 얼굴로 고개를 기울이며 웃는다.,
「ともき、結構速い」,“智纪，还挺快的。”,"「토모키, 꽤 빨라.」",
「そ、そう？」,“是、是吗？”,"「그, 그래?」",
運動部ではないから運動は得意ではないけど、女の子に足が速いと言われるのは男として嬉しい。,虽然我不是体育社团的，也不擅长运动。但能被女孩子说跑得快，作为男生还是有些开心的。,"운동부가 아닌 만큼 운동에 재능은 없지만, 여자에게 발이 빠르단 소리를 들으니 남자로서 기쁘다.",
クラスの運動できるやつの気持ちが少し分かって羨ましくなる。,我稍微明白班里那些擅长运动的人的心情了，不禁有些羡慕。,반에서 운동 잘하는 녀석들의 마음이 조금은 이해가 됐고 이내 부러움이 치솟았다.,
「ありがとう、はじめて言われたよ……あ」,“谢谢，头一回被人这么说……啊。”,「고마워. 그런 말 처음 들었어…… 아.」,
手を繋いだままだ。,手还是牵得紧紧地。,아직 손을 잡은 상태다.,
「ご、ごめん！」,“对、对不起！”,"「미, 미안해!」",
慌てて離す。,慌忙把手松开。,황급히 놓는다.,
「あ」,“啊。”,「아.」,
一瞬だけユエナが寂しそうな瞳をした気がした。,一瞬间，我似乎从她的眼瞳里读出了一丝寂寞。,순간 유에나의 눈빛에서 쓸쓸한 기색이 엿보인 듯했다.,
「ともき」,“智纪。”,「토모키.」,
「なに？」,“什么？”,「왜?」,
「帰る？」,“回去吗？”,「갈 거야?」,
「そう、だね」,“说得，也是啊。”,"「그래야, 겠지.」",
スマホで時間を確認する。それなりに時間は経っていた。,我看了看手机，时间也不早了。,스마트폰으로 시간을 확인한다. 적잖게 시간이 지났다.,
「そう。ならわたしも」,“这样，那么我也。”,「그래. 그럼 나도.」,
ユエナが髪を翻らせ、くるんと反転して歩き出す。,她甩了下头发，转身就走了。,유에나가 머리카락을 쓸어 넘기며 휙 돌아 걸어간다.,
「ユエナ？」,“由依奈？”,「유에나?」,
ユエナは振り返らない。,可她并没有回头。,유에나는 돌아보지 않는다.,
「じゃ、じゃあね」,“再、再见啊。”,"「자, 잘 가.」",
ユエナは一度だけ振り返って、,由依奈就回了一次头，,그때 유에나는 딱 한 번 돌아보고,
「じゃーね」,“再见～”,「잘 가.」,
手をひらひらと振る。なんだか悲しい別れ方だ。,挥了挥手，总觉得这方式有些悲伤。,손을 살랑살랑 흔들었다. 헤어지는 모양새가 어쩐지 서글프다.,
少し寂しく感じつつも、ぼくもユエナに背を向け歩き出す。,虽然有些寂寞，但我也转身走了起来。,"약간의 쓸쓸함을 삼키며, 나도 유에나를 등지고 걷기 시작한다.",
だけどちょっとだけ気になって、後ろを振り返る。,但稍微有点在意，所以回了一次头。,하지만 조금 신경이 쓰여 뒤를 돌아보았다.,
「……え」,“……哎。”,「……어.」,
そこに――ユエナはもういなかった。,但是——已经看不到由依奈的身影了。,그곳에―― 유에나는 없었다.,
「え、え……」,“哎，哎……？”,"「어, 어어…….」",
曲がり角も隠れる場所もない田舎の一本道。,这里可是没有拐角和藏身处的笔直乡间小路。,길모퉁이도 없고 몸을 숨길 곳도 없는 시골의 외길.,
ユエナから目を離して数秒しか経っていない。,而且她离开我视线的时间也就几秒钟。,유에나에게서 눈을 뗀 지 불과 몇 초밖에 지나지 않았다.,
「ユエナって、もしかして幽霊……？」,“难道说，她是幽灵不成？”,"「유에나, 설마 유령……?」",
少し考えていきついた答えがこれ。,我稍微想了一下，只能得出这么个答案。,잠시 생각한 끝에 다다른 결론.,
まさかそんなことはない、と思いつつ火照っていた身体が次第に冷えてくる。,虽说脑子想否定这个想法，但身体的热度逐渐冷了下去。,"설마 그건 아닐 거라고 생각하지만, 그러면서도 달아올랐던 몸이 천천히 식어 간다.",
腕に鳥肌がいくつか立ったのがわかった。,我甚至都感觉到胳膊起鸡皮疙瘩了。,팔에 주르륵 소름이 돋는다.,
「うそ、でしょ」,“骗人、的吧。”,"「설마, 아니지?」",
もしやぼくはホラー小説の主人公になったかもしれない。,没准我已经成为恐怖小说的主人公了吧？,어쩌면 나는 공포소설의 주인공이 된 것인지도 모른다.,
そんな予感が全身を駆け巡って、,当这种预感越来越强烈的时候——,그런 예감이 온몸을 감싸자,
「そんなの、嫌なんだけど！」,“那种事情，我可不愿意啊！”,"「그런 거, 싫어한다고!」",
家までの道を全力疾走で走った。,我已经飞奔在回家的路上了。,집까지 이어진 길을 전력으로 질주했다.,